program_name,term,tfidf
data_UIUC,15,1
data_UIUC,12,1
data_UIUC,18,1
data_UIUC,2,1
data_UIUC,19,1
data_UIUC,5,1
data_UIUC,9,1
data_UIUC,1,1
data_UNC_CH,4,1
data_UNC_CH,12,1
data_UNC_CH,15,1
data_UNC_CH,14,1
data_UNC_CH,19,1
data_UNC_CH,9,1
digital_Dominican,6,1
digital_Dominican,2,1
digital_Dominican,12,1
digital_Dominican,5,1
digital_Dominican,3,1
digital_Dominican,1,1
digital_Dominican,19,1
digital_Drexel,3,1
digital_Drexel,5,1
digital_Drexel,10,1
digital_Drexel,2,1
digital_Drexel,6,1
digital_Drexel,9,1
digital_UMD,18,1
digital_UMD,19,1
digital_UMD,14,1
digital_UMD,9,1
digital_UMD,15,1
digital_UMD,6,1
digital_UMD,5,1
digital_UMD,3,1
digital_Pratt,13,1
digital_Pratt,5,1
digital_Pratt,3,1
digital_Pratt,19,1
digital_Pratt,6,1
digital_Pratt,12,1
digital_UNC_CH,14,1
digital_UNC_CH,16,1
digital_UNC_CH,4,1
digital_UNC_CH,5,1
digital_UNC_CH,19,1
digital_UNC_CH,15,1
digital_UNC_CH,12,1
digital_UNC_CH,3,1
digital_UNT,2,1
digital_UNT,15,1
digital_UNT,18,1
digital_UNT,16,1
digital_UNT,17,1
digital_UNT,6,1
digital_UNT,12,1
digital_UK_Aberystwyth,7,1
digital_UK_Aberystwyth,17,1
digital_UK_Aberystwyth,9,1
digital_UK_Aberystwyth,1,1
digital_UK_Aberystwyth,20,1
digital_UK_Kings,11,1
digital_UK_Kings,8,1
digital_UK_Kings,13,1
digital_UK_Kings,15,1
digital_UK_Kings,20,1
digital_UK_Kings,3,1
digital_UK_Robertgordon,16,1
digital_UK_Robertgordon,1,1
digital_UK_Robertgordon,18,1
digital_UK_Robertgordon,8,1
digital_UK_Robertgordon,15,1
